City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vanimo,141.3028,-2.6741,25.27,87,100,1.41,PG,1674251436
1,quatre cocos,57.7625,-20.2078,25.06,89,100,2.84,MU,1674251437
2,vaini,-175.2,-21.2,30.09,84,75,4.12,TO,1674251437
3,port elizabeth,25.5701,-33.918,23.39,92,75,2.57,ZA,1674251345
4,busselton,115.3333,-33.65,20.08,55,0,5.66,AU,1674251438
5,mayo,-76.5119,38.8876,8.49,51,40,7.72,US,1674251439
6,ahipara,173.1667,-35.1667,22.08,59,98,2.7,NZ,1674251439
7,albany,-73.9662,42.6001,3.71,83,100,0.45,US,1674251439
8,butaritari,172.7902,3.0707,27.38,76,37,7.61,KI,1674251440
9,ushuaia,-68.3,-54.8,12.81,71,75,7.72,AR,1674251341
10,kyra,111.9753,49.5776,-27.08,94,100,1.82,RU,1674251441
11,port blair,92.75,11.6667,26.02,73,40,2.57,IN,1674251441
12,bredasdorp,20.0403,-34.5322,20.08,82,5,0.72,ZA,1674251441
13,lebu,-73.65,-37.6167,17.28,75,0,4.33,CL,1674251216
14,luderitz,15.1594,-26.6481,18.67,86,2,8.29,NA,1674251442
15,hermanus,19.2345,-34.4187,18.22,84,0,1.02,ZA,1674251442
16,kodiak,-152.4072,57.79,1.73,80,100,11.32,US,1674251443
17,uvelskiy,61.3574,54.4446,-15.67,82,35,2.51,RU,1674251443
18,rikitea,-134.9692,-23.1203,25.78,72,87,5.19,PF,1674251444
19,tucurui,-49.6725,-3.7661,24.11,86,86,0.97,BR,1674251445
20,port alfred,26.891,-33.5906,22.32,96,49,0.45,ZA,1674251445
21,ndende,11.3581,-2.4008,22.87,97,100,0.39,GA,1674251445
22,puerto ayora,-90.3518,-0.7393,27.98,90,76,2.68,EC,1674251446
23,ginda,78.4932,30.6945,1.43,79,70,3.66,IN,1674251446
24,chokurdakh,147.9167,70.6333,-34.79,99,100,3.17,RU,1674251447
25,punta arenas,-70.9167,-53.15,15.06,58,0,4.12,CL,1674251448
26,sanmenxia,111.1814,34.7747,-2.32,53,0,0.68,CN,1674251448
27,los llanos de aridane,-17.9182,28.6585,16.86,77,75,6.69,ES,1674251449
28,qaanaaq,-69.3632,77.484,-35.37,60,0,3.71,GL,1674251449
29,horsham,-0.3272,51.064,4.24,81,40,3.6,GB,1674251450
30,bluff,168.3333,-46.6,13.09,57,83,4.88,NZ,1674251450
31,provideniya,-173.3,64.3833,-29.69,90,12,2.39,RU,1674251451
32,atuona,-139.0333,-9.8,26.12,72,7,7.83,PF,1674251451
33,nanzhou,112.4024,29.3596,5.44,54,15,2.16,CN,1674251452
34,pointe michel,-61.3833,15.25,25.16,69,6,6.9,DM,1674251452
35,nikolskoye,30.7861,59.7035,-1.06,96,86,1.39,RU,1674251453
36,nanortalik,-45.2371,60.1432,-8.01,57,0,12.73,GL,1674251453
37,kyzyl-suu,78.0056,42.3414,-10.67,58,7,4.3,KG,1674251454
38,yellowknife,-114.3525,62.456,-16.71,85,20,0.0,CA,1674251437
39,jamestown,-79.2353,42.097,1.77,72,100,7.2,US,1674251424
40,kermanshah,47.065,34.3142,-4.5,68,0,5.14,IR,1674251454
41,tuktoyaktuk,-133.0374,69.4541,-22.0,77,75,2.57,CA,1674251455
42,mataura,168.8643,-46.1927,14.35,51,79,2.75,NZ,1674251455
43,mlandizi,38.7333,-6.7,23.7,90,88,1.48,TZ,1674251456
44,sao filipe,-24.4956,14.8961,22.25,69,3,5.91,CV,1674251456
45,kruisfontein,24.7314,-34.0033,22.16,87,94,1.81,ZA,1674251457
46,honningsvag,25.9704,70.9821,2.86,60,0,10.8,NO,1674251457
47,san patricio,-97.5169,28.017,18.05,69,100,6.9,US,1674251458
48,dikson,80.5464,73.5069,-26.15,72,100,14.32,RU,1674251458
49,carnarvon,113.6333,-24.8667,23.21,83,2,6.47,AU,1674251459
50,nautla,-96.7833,20.2167,24.49,74,98,4.38,MX,1674251459
51,skibbereen,-9.2667,51.55,8.39,97,100,2.12,IE,1674251460
52,ugoofaaru,73.0,5.6667,26.97,61,91,4.46,MV,1674251460
53,tambovka,128.0489,50.0969,-45.52,100,58,0.56,RU,1674251461
54,pisco,-76.2167,-13.7,25.03,69,0,9.26,PE,1674251461
55,paamiut,-49.6678,61.994,-18.07,81,18,4.81,GL,1674251462
56,anadyr,177.4833,64.75,-32.72,67,0,5.0,RU,1674251463
57,namibe,12.1522,-15.1961,23.6,76,100,2.62,AO,1674251463
58,hilo,-155.09,19.7297,29.23,56,40,6.26,US,1674251464
59,henties bay,14.2845,-22.116,19.12,84,48,2.91,NA,1674251464
60,arraial do cabo,-42.0278,-22.9661,22.98,94,100,4.12,BR,1674251317
61,kichera,110.0997,55.9375,-33.88,79,23,2.9,RU,1674251465
62,tasiilaq,-37.6368,65.6145,-15.84,88,94,2.36,GL,1674251466
63,new norfolk,147.0587,-42.7826,17.73,67,69,1.13,AU,1674251466
64,lasa,10.7002,46.6166,-2.51,93,85,3.22,IT,1674251467
65,ponta do sol,-17.1,32.6667,16.51,72,19,2.48,PT,1674251467
66,dodge city,-100.0171,37.7528,11.8,37,0,3.58,US,1674251468
67,kemijarvi,27.4306,66.7131,-2.5,92,100,2.71,FI,1674251468
68,aklavik,-135.0107,68.2191,-23.0,84,100,0.0,CA,1674251469
69,cortes,-1.4396,41.9395,5.03,70,16,6.19,ES,1674251470
70,rawson,-65.1023,-43.3002,23.02,65,86,5.05,AR,1674251470
71,vestmannaeyjar,-20.2734,63.4427,8.44,95,100,13.35,IS,1674251471
72,chuy,-53.4616,-33.6971,24.13,75,55,6.34,UY,1674251472
73,kavieng,150.7967,-2.5744,28.05,76,100,2.55,PG,1674251472
74,hobart,147.3294,-42.8794,17.92,78,75,3.6,AU,1674251409
75,mahebourg,57.7,-20.4081,25.16,94,75,1.54,MU,1674251473
76,bandar,99.75,2.05,21.9,98,100,0.75,ID,1674251474
77,mar del plata,-57.5575,-38.0023,24.49,92,100,10.73,AR,1674251190
78,grand gaube,57.6608,-20.0064,25.22,90,98,0.89,MU,1674251475
79,faanui,-151.75,-16.4833,27.46,68,52,6.33,PF,1674251475
80,nouadhibou,-17.0347,20.931,17.99,82,0,6.17,MR,1674251476
81,bad camberg,8.2667,50.3,0.36,96,100,3.09,DE,1674251477
82,talnakh,88.3972,69.4865,-34.11,85,67,3.93,RU,1674251477
83,georgetown,100.3354,5.4112,25.96,92,40,4.12,MY,1674251302
84,barra patuca,-84.2833,15.8,26.4,72,7,4.47,HN,1674251478
85,ostrovnoy,39.5131,68.0531,-2.33,86,94,8.89,RU,1674251479
86,torbay,-52.7314,47.6666,0.22,95,100,6.71,CA,1674251479
87,stornoway,-6.3865,58.2093,5.98,79,75,12.86,GB,1674251480
88,russell,-85.1999,32.3502,15.53,36,20,3.6,US,1674251480
89,kariba,28.8,-16.5167,21.58,89,99,0.21,ZW,1674251481
90,komsomolskiy,71.7189,40.4272,-7.6,79,53,1.03,UZ,1674251482
91,bongandanga,21.05,1.5,27.1,27,98,0.26,CD,1674251482
92,kodinsk,99.1844,58.6881,-44.38,99,53,1.18,RU,1674251483
93,korla,86.1469,41.7597,-14.04,76,7,0.76,CN,1674251483
94,moranbah,148.0466,-22.0016,23.22,74,1,6.58,AU,1674251484
95,riyadh,46.7219,24.6877,10.08,47,0,2.64,SA,1674251402
96,cidreira,-50.2056,-30.1811,24.11,85,7,7.32,BR,1674251485
97,killybegs,-8.45,54.6333,4.36,90,96,4.59,IE,1674251485
98,avarua,-159.775,-21.2078,29.03,79,40,5.14,CK,1674251486
99,cabedelo,-34.8339,-6.9811,27.37,72,21,4.23,BR,1674251486
100,barrow,-156.7887,71.2906,-18.99,78,100,3.6,US,1674251487
101,gorontalo,123.0595,0.5412,23.43,94,100,1.54,ID,1674251488
102,cherskiy,161.3,68.75,-37.73,100,95,2.07,RU,1674251488
103,dingle,122.6711,10.9995,22.67,95,99,3.17,PH,1674251489
104,xining,101.7667,36.6167,-11.68,51,100,1.0,CN,1674251489
105,almeirim,-52.5817,-1.5233,26.88,69,44,1.22,BR,1674251490
106,touros,-35.4608,-5.1989,26.52,74,47,5.66,BR,1674251490
107,ribeira grande,-28.7,38.5167,16.54,77,75,7.2,PT,1674251491
108,kapaa,-159.319,22.0752,28.18,72,100,9.26,US,1674251491
109,buin,-70.75,-33.7333,29.68,31,0,5.22,CL,1674251492
110,oxford,-1.256,51.7522,2.49,92,0,2.57,GB,1674251257
111,tuatapere,167.6833,-46.1333,13.39,61,87,3.19,NZ,1674251493
112,miranda de ebro,-2.947,42.6865,3.88,95,99,0.72,ES,1674251493
113,ruteng,120.4721,-8.6136,16.42,91,99,0.6,ID,1674251494
114,thompson,-97.8558,55.7435,-7.91,93,100,3.6,CA,1674251284
115,yar-sale,70.8333,66.8333,-14.86,95,100,9.45,RU,1674251494
116,victoria,114.1577,22.2855,17.36,83,90,3.58,HK,1674251443
117,nizhniy ingash,96.53,56.2,-40.76,98,25,1.71,RU,1674251495
118,chalus,51.4204,36.655,6.7,81,75,2.06,IR,1674251496
119,norman wells,-126.8329,65.282,-25.98,76,20,1.03,CA,1674251496
120,la massana,1.4833,42.5667,-15.13,75,28,2.68,AD,1674251497
121,maloy,5.1136,61.9353,3.18,73,39,6.29,NO,1674251497
122,son la,103.9,21.3167,8.33,98,11,1.58,VN,1674251498
123,nome,-165.4064,64.5011,-21.96,77,40,4.63,US,1674251498
124,dali,100.1833,25.7,2.67,66,23,2.42,CN,1674251498
125,weymouth,-70.9398,42.2209,1.61,89,100,4.12,US,1674251499
126,bacolod,122.95,10.6667,23.9,86,91,3.92,PH,1674251500
127,luena,19.9167,-11.7833,16.26,94,100,1.63,AO,1674251500
128,moron,-58.6198,-34.6534,23.92,92,100,7.72,AR,1674251501
129,geraldton,114.6,-28.7667,19.23,88,40,0.0,AU,1674251501
130,neuquen,-68.0591,-38.9516,31.94,19,20,5.66,AR,1674251502
131,santa helena de goias,-50.5969,-17.8136,22.52,87,28,3.19,BR,1674251502
132,comodoro rivadavia,-67.5,-45.8667,22.92,56,40,2.57,AR,1674251503
133,tiksi,128.8694,71.6872,-31.4,96,88,1.59,RU,1674251503
134,iqaluit,-68.5145,63.7506,-24.06,76,75,2.57,CA,1674251389
135,karpathos,27.2132,35.507,13.98,77,11,4.12,GR,1674251504
136,ingham,-84.3833,42.6,1.79,74,100,3.6,US,1674251504
137,marzuq,46.4667,14.4,14.58,42,21,1.13,YE,1674251505
138,parakou,2.6303,9.3372,27.37,18,100,1.69,BJ,1674251505
139,hasaki,140.8333,35.7333,4.22,47,11,10.39,JP,1674251506
140,berdigestyakh,126.6992,62.0989,-42.05,97,100,0.73,RU,1674251506
141,fraserburgh,-2.0184,57.6874,1.18,84,34,6.8,GB,1674251507
142,puri,85.85,19.8,20.29,80,16,2.24,IN,1674251507
143,saskylakh,114.0833,71.9167,-38.35,99,46,1.83,RU,1674251508
144,airai,125.4092,-8.9266,15.1,89,100,0.41,TL,1674251508
145,port lincoln,135.8667,-34.7333,17.37,69,99,5.75,AU,1674251509
146,flinders,150.8552,-34.5833,20.66,82,99,2.68,AU,1674251509
147,odienne,-7.5692,9.51,25.99,17,44,1.06,CI,1674251510
148,roma,-75.4557,43.2128,0.6,95,100,5.14,US,1674251510
149,sumenep,113.8667,-7.0167,25.94,83,100,1.65,ID,1674251461
150,shenjiamen,122.298,29.9576,7.31,63,85,3.83,CN,1674251511
151,nakanojo,138.85,36.5833,-0.8,52,20,0.89,JP,1674251511
152,mahajanga,46.3167,-15.7167,26.01,83,75,5.14,MG,1674251512
153,lata,-8.3327,40.1629,12.73,99,50,1.05,PT,1674251512
154,rio grande,-52.0986,-32.035,28.06,81,35,7.41,BR,1674251346
155,hithadhoo,73.0833,-0.6,26.9,70,96,5.73,MV,1674251513
156,castro,-50.0119,-24.7911,18.9,90,7,1.98,BR,1674251513
157,vestmanna,-7.1664,62.1564,4.51,93,100,10.8,FO,1674251514
158,usinsk,57.5281,65.9939,-3.54,95,100,6.62,RU,1674251514
159,shubarshi,57.1869,48.5872,-11.56,75,0,2.88,KZ,1674251514
160,zuwarah,12.082,32.9312,12.23,41,7,6.41,LY,1674251515
161,bengkulu,102.2655,-3.8004,23.48,90,100,1.74,ID,1674251515
162,chama,8.4636,47.1821,-2.44,84,27,1.9,CH,1674251516
163,sitka,-135.33,57.0531,8.94,71,100,11.83,US,1674251516
164,eureka,-124.1637,40.8021,13.44,62,0,1.79,US,1674251517
165,puerto del rosario,-13.8627,28.5004,17.86,63,40,9.26,ES,1674251517
166,chimoio,33.4833,-19.1164,20.92,94,40,0.43,MZ,1674251518
167,melilla,-2.9383,35.2937,16.21,77,100,6.69,ES,1674251518
168,kimbe,150.1429,-5.5502,25.89,87,100,0.47,PG,1674251519
169,meulaboh,96.1285,4.1363,23.57,90,99,1.48,ID,1674251519
170,saldanha,17.9442,-33.0117,19.03,89,0,4.59,ZA,1674251520
171,kasongo-lunda,16.8167,-6.4667,21.15,97,100,0.38,CD,1674251520
172,ballina,153.5667,-28.8667,20.56,89,62,5.97,AU,1674251520
173,guatire,-66.5427,10.4762,22.52,85,43,1.85,VE,1674251521
174,saint-philippe,55.7679,-21.3585,26.77,84,100,2.97,RE,1674251521
175,faya,42.4509,18.3851,11.06,73,1,0.2,SA,1674251522
176,fortuna,-124.1573,40.5982,13.29,53,0,0.45,US,1674251523
177,bethel,-73.414,41.3712,7.49,80,100,2.57,US,1674251241
178,little current,-81.9248,45.9793,-4.21,80,100,0.45,CA,1674251523
179,ende,121.6623,-8.8432,25.24,88,97,1.7,ID,1674251524
180,bosaso,49.1816,11.2842,23.92,72,13,1.56,SO,1674251524
181,souillac,57.5167,-20.5167,25.21,94,75,1.54,MU,1674251525
182,cape town,18.4232,-33.9258,21.16,72,0,4.12,ZA,1674251404
183,esperance,121.9,-33.8667,16.0,78,0,5.79,AU,1674251526
184,goderich,-81.7165,43.7501,-0.61,86,100,5.66,CA,1674251526
185,maragogi,-35.2225,-9.0122,25.54,77,100,3.71,BR,1674251322
186,laguna,-121.4238,38.421,12.32,44,0,3.09,US,1674251528
187,mezen,44.24,65.8522,-5.11,97,100,2.24,RU,1674251528
188,balabac,117.0645,7.9868,26.63,84,100,6.59,PH,1674251529
189,severo-kurilsk,156.125,50.6789,-6.49,61,92,5.77,RU,1674251529
190,wundanyi,38.364,-3.4019,15.99,77,17,1.65,KE,1674251530
191,merauke,140.3333,-8.4667,25.92,86,100,6.18,ID,1674251530
192,codrington,141.9667,-38.2667,17.56,71,100,4.81,AU,1674251532
193,port-gentil,8.7815,-0.7193,26.98,83,40,4.12,GA,1674251533
194,orlik,99.825,52.5178,-22.36,97,100,1.0,RU,1674251533
195,vao,167.4833,-22.6667,25.1,80,100,11.8,NC,1674251534
196,ashqelon,34.5715,31.6693,12.68,50,1,1.97,IL,1674251534
197,tomatlan,-105.25,19.9333,27.21,53,24,3.89,MX,1674251535
198,matagami,-77.6328,49.7502,-9.94,73,0,3.6,CA,1674251257
199,khuzdar,66.6434,27.7384,3.98,61,0,1.99,PK,1674251536
200,cayenne,-52.3333,4.9333,24.02,94,100,1.03,GF,1674251347
201,preobrazheniye,133.9064,42.9019,-15.5,68,38,3.72,RU,1674251537
202,worthington,-83.018,40.0931,2.46,79,100,1.79,US,1674251537
203,amuntai,115.2494,-2.4177,22.58,98,99,0.29,ID,1674251538
204,nalut,10.85,30.3333,6.84,24,0,3.85,LY,1674251539
205,ono,134.9333,34.85,1.71,77,34,2.57,JP,1674251540
206,biak,122.8766,-0.9131,24.44,80,100,2.95,ID,1674251540
207,lorengau,147.2712,-2.0226,27.29,81,100,3.39,PG,1674251541
208,madera,-119.8343,37.1666,12.91,80,5,1.87,US,1674251542
209,emerald,148.1667,-23.5333,22.97,85,12,5.09,AU,1674251542
210,katsuura,140.3,35.1333,4.7,43,70,7.99,JP,1674251543
211,carroll,-77.0164,39.5501,6.6,59,88,4.92,US,1674251543
212,kushima,131.2333,31.4583,3.38,72,8,2.27,JP,1674251544
213,neiafu,-173.9833,-18.65,29.38,79,40,5.14,TO,1674251545
214,potosi,-65.7531,-19.5836,13.51,38,18,5.92,BO,1674251545
215,caravelas,-39.2481,-17.7125,25.46,80,100,3.23,BR,1674251546
216,armizonskoye,67.6736,55.9461,-15.05,86,88,3.0,RU,1674251546
217,harper,-7.7169,4.375,26.9,79,83,3.19,LR,1674251547
218,gomel,30.9754,52.4345,3.99,93,100,6.0,BY,1674251547
219,padang,100.3543,-0.9492,24.45,89,100,1.42,ID,1674251548
220,capinopolis,-49.5697,-18.6819,22.93,84,51,2.68,BR,1674251548
221,coralville,-91.5805,41.6764,-0.28,78,50,4.02,US,1674251549
222,bonavista,-53.1147,48.6499,-0.47,88,100,7.01,CA,1674251462
223,bileca,18.4297,42.8719,3.94,91,100,3.05,BA,1674251549
224,clyde river,-68.5914,70.4692,-31.87,68,20,3.6,CA,1674251550
225,saint-georges,-61.7485,12.0564,27.82,65,20,10.29,GD,1674251550
226,mersing,103.8405,2.4312,25.95,89,20,4.63,MY,1674251550
227,matamoros,-103.25,25.5333,22.84,23,27,2.69,MX,1674251551
228,avera,-82.5271,33.194,17.03,45,89,5.24,US,1674251551
229,sarkand,79.9186,45.41,-9.95,77,100,1.99,KZ,1674251552
230,dukat,155.55,62.55,-35.81,97,100,2.41,RU,1674251552
231,sandwick,-1.25,60.0,5.9,70,75,6.69,GB,1674251553
232,nemours,2.6908,48.2751,3.2,91,32,3.07,FR,1674251553
233,den helder,4.7593,52.9599,1.1,87,100,5.36,NL,1674251554
234,salalah,54.0924,17.0151,18.46,36,6,5.5,OM,1674251554
235,singkawang,109.0,0.9,23.14,94,100,1.36,ID,1674251555
236,tierranueva,-100.5667,21.6833,25.93,15,98,3.55,MX,1674251555
237,bambous virieux,57.7575,-20.3428,25.14,94,75,1.54,MU,1674251556
238,nabire,135.4833,-3.3667,24.57,90,100,1.33,ID,1674251556
239,praia,-23.5087,14.9215,22.3,64,75,7.72,CV,1674251438
240,east london,27.9116,-33.0153,23.4,87,14,4.56,ZA,1674251557
241,uvira,29.1458,-3.4067,22.46,81,100,0.75,CD,1674251558
242,shingu,135.9833,33.7333,1.27,76,2,3.25,JP,1674251558
243,vuktyl,57.3094,63.8567,-3.46,95,100,3.9,RU,1674251558
244,hambantota,81.1185,6.1241,24.19,83,40,1.54,LK,1674251559
245,kavaratti,72.642,10.5669,26.32,65,95,1.78,IN,1674251560
246,muscat,58.5922,23.6139,19.35,59,0,1.44,OM,1674251533
247,aitape,142.3475,-3.1374,25.7,84,100,1.12,PG,1674251560
248,prince rupert,-130.3201,54.3161,9.05,78,100,16.46,CA,1674251561
249,preston,-2.7167,53.7667,1.62,92,16,2.21,GB,1674251561
250,ville-marie,-79.433,47.3335,-3.71,89,100,3.23,CA,1674251562
251,moreira sales,-53.0069,-24.0622,25.18,80,13,2.0,BR,1674251562
252,huilong,121.655,31.8111,3.29,62,97,3.28,CN,1674251563
253,ancud,-73.8203,-41.8697,16.41,84,95,3.67,CL,1674251563
254,atambua,124.8925,-9.1061,22.42,85,100,0.93,ID,1674251564
255,kholodnyy,147.95,62.7167,-32.72,99,100,1.64,RU,1674251564
256,maltahohe,16.9833,-24.8333,25.49,36,84,4.33,NA,1674251565
257,saint-pierre,55.4781,-21.3393,26.82,78,75,2.06,RE,1674251565
258,nueva concepcion,-91.3,14.2,30.78,43,7,5.32,GT,1674251566
259,kahului,-156.47,20.8947,28.01,64,40,3.58,US,1674251561
260,port hedland,118.5667,-20.3167,26.03,94,40,1.54,AU,1674251566
261,constitucion,-72.4167,-35.3333,18.0,68,5,6.8,CL,1674251567
262,cardston,-113.3019,49.2,3.08,38,100,5.66,CA,1674251524
263,fraga,0.3489,41.5229,3.07,59,4,1.67,ES,1674251567
264,college,-147.8028,64.8569,-15.23,78,75,1.54,US,1674251568
265,mutis,-77.4044,6.2262,26.81,81,27,1.4,CO,1674251568
266,egvekinot,-179.1667,66.3167,-31.14,99,100,0.19,RU,1674251569
267,yarada,83.2667,17.65,22.96,80,52,1.9,IN,1674251569
268,ngama,17.1667,11.7833,23.57,19,41,4.95,TD,1674251570
269,saint andrews,-81.1293,34.0454,17.88,34,40,4.12,US,1674251570
270,hami,93.45,42.8,-9.38,48,92,0.58,CN,1674251571
271,yura,-71.6797,-16.2522,13.22,78,85,1.62,PE,1674251571
272,gulmarg,74.3921,34.049,-5.52,97,98,0.81,IN,1674251572
273,maniitsoq,-52.9,65.4167,-20.04,89,54,4.53,GL,1674251572
274,san juan del sur,-85.8705,11.2529,28.12,74,40,5.14,NI,1674251573
275,bereda,-7.5406,43.2686,12.3,100,100,2.47,ES,1674251573
276,fairbanks,-147.7164,64.8378,-15.22,79,75,1.54,US,1674251574
277,samarai,150.6667,-10.6167,27.52,77,100,3.08,PG,1674251574
278,dhidhdhoo,73.1,6.8833,25.61,68,0,1.87,MV,1674251574
279,steamboat springs,-106.8317,40.485,-0.55,67,100,2.57,US,1674251439
280,coahuayana,-103.6833,18.7333,27.64,56,95,2.93,MX,1674251575
281,hamilton,-84.5333,39.1834,2.55,73,100,4.63,US,1674251527
